ntw	slice	metrics	min	max	mean	p25	p50	p75
"IT01"	"it01_012014.xlsx"	"Eigenvalue"	0	.52619116	.03155617	.02093231	.03058756	.03747237
"HU02"	"huswap10_042008.xlsx"	"In-Degree"	0	40	3.4866667	1	1	3
"HU02"	"huswap10_042008.xlsx"	"Out-Degree"	0	45	3.4866667	1	1	3
"HU02"	"huswap10_042008.xlsx"	"Closeness"	0	0	0	0	0	0
"HU02"	"huswap10_042008.xlsx"	"Betweenness"	0	5312.529	174.72387	0	0	3.4771167
"HU02"	"huswap10_042008.xlsx"	"Eigenvalue"	0	.34789155	.04787174	.01392969	.02495269	.0472463
"HU02"	"huswap09_032008.xlsx"	"In-Degree"	0	52	3.7290323	1	1	3.75
"HU02"	"huswap09_032008.xlsx"	"Out-Degree"	0	51	3.7290323	1	1	3.75
"HU02"	"huswap09_032008.xlsx"	"Closeness"	0	0	0	0	0	0
"HU02"	"huswap09_032008.xlsx"	"Betweenness"	0	5358.01	161.00302	0	0	0
"HU02"	"huswap09_032008.xlsx"	"Eigenvalue"	-4.774e-39	.31650322	.04464947	.01220919	.02066702	.04057494
"HU02"	"huswap08_022008.xlsx"	"In-Degree"	0	42	3.8266667	1	1	4
"HU02"	"huswap08_022008.xlsx"	"Out-Degree"	0	53	3.8266667	1	1	4
"HU02"	"huswap08_022008.xlsx"	"Closeness"	0	0	0	0	0	0
"HU02"	"huswap08_022008.xlsx"	"Betweenness"	0	4547.4966	155.78412	0	0	0
"HU02"	"huswap08_022008.xlsx"	"Eigenvalue"	-4.512e-34	.33632536	.04553378	.01532709	.02195665	.04242987
"HU02"	"huswap07_012008.xlsx"	"In-Degree"	0	40	3.6202532	1	1	3
"HU02"	"huswap07_012008.xlsx"	"Out-Degree"	0	50	3.6202532	1	1	3
"HU02"	"huswap07_012008.xlsx"	"Closeness"	0	0	0	0	0	0
